종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"002170","삼양통상","KOSPI","기타제조업","68200","-200","-0.29","204600000000"
"272550","삼양패키징","KOSPI","화학","33500","1800","5.68","476028434000"
"000070","삼양홀딩스","KOSPI","기타금융","122000","7500","6.55","1044841062000"
"000075","삼양홀딩스우","KOSPI","기타금융","74700","1700","2.33","22713132600"
"002810","삼영무역","KOSPI","유통업","15800","-100","-0.63","291777778400"
"005680","삼영전자","KOSPI","전기전자","13650","350","2.63","273000000000"
"003720","삼영화학","KOSPI","화학","3325","30","0.91","113050000000"
"023000","삼원강재","KOSPI","운수장비","3490","5","0.14","139600000000"
"004380","삼익THK","KOSPI","기계","12200","50","0.41","256200000000"
"002450","삼익악기","KOSPI","기타제조업","1955","5","0.26","176987938825"
"004440","삼일씨엔에스","KOSPI","비금속광물","12750","-250","-1.92","162332324250"
"000520","삼일제약","KOSPI","의약품","9050","-50","-0.55","121368301100"
"009770","삼정펄프","KOSPI","종이목재","32800","-150","-0.46","81999048800"
"005500","삼진제약","KOSPI","의약품","27350","350","1.30","380165000000"
"004690","삼천리","KOSPI","전기가스업","88300","400","0.46","358058707500"
"010960","삼호개발","KOSPI","건설업","5620","-30","-0.53","140500000000"
