종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"139670","키네마스터","KOSDAQ","소프트웨어","24350","1300","5.64","329852575450"
"054780","키이스트","KOSDAQ","오락·문화","13750","-100","-0.72","243898325000"
"219130","타이거일렉","KOSDAQ","반도체","14050","500","3.69","88715774500"
"065130","탑엔지니어링","KOSDAQ","기계·장비","8130","-30","-0.37","129886969410"
"023160","태광","KOSDAQ","금속","12600","300","2.44","333900000000"
"053620","태양","KOSDAQ","금속","9630","-50","-0.52","82818000000"
"044490","태웅","KOSDAQ","금속","12500","0","0.00","250092262500"
"124560","태웅로직스","KOSDAQ","운송","8110","-100","-1.22","158443383120"
"191420","테고사이언스","KOSDAQ","제약","28150","450","1.62","228263677100"
"073640","테라사이언스","KOSDAQ","금속","1850","10","0.54","134869736000"
"182690","테라셈","KOSDAQ","반도체","1440","0","0.00","30474933120"
"066700","테라젠이텍스","KOSDAQ","제약","7770","100","1.30","252326359950"
"095610","테스","KOSDAQ","반도체","27800","-100","-0.36","549556682800"
"131970","테스나","KOSDAQ","반도체","51900","600","1.17","766022046300"
"089030","테크윙","KOSDAQ","반도체","25100","-800","-3.09","486648036800"
"054450","텔레칩스","KOSDAQ","반도체","16800","150","0.90","226899304800"
"091440","텔레필드","KOSDAQ","통신장비","3620","-10","-0.28","33216667500"
"200230","텔콘RF제약","KOSDAQ","통신장비","4650","-110","-2.31","406916905800"
"215480","토박스코리아","KOSDAQ","유통","1545","35","2.32","74275549005"
"051360","토비스","KOSDAQ","정보기기","7960","-30","-0.38","133067781680"
"045340","토탈소프트","KOSDAQ","소프트웨어","14150","200","1.43","121096266000"
"108230","톱텍","KOSDAQ","기계·장비","10300","-250","-2.37","391639423500"
"079970","투비소프트","KOSDAQ","소프트웨어","2335","-60","-2.51","87597833220"
"105550","트루윈","KOSDAQ","일반전기전자","8150","180","2.26","160561878600"
